"date","value"
2020-03-21 04:00:00,4.3
2020-03-21 05:00:00,4.3
2020-03-21 06:00:00,4.1
2020-03-21 07:00:00,4.4
2020-03-21 08:00:00,5.5
2020-03-21 09:00:00,6.2
2020-03-21 10:00:00,7.2
2020-03-21 11:00:00,7.5
2020-03-21 12:00:00,7.6
2020-03-22 00:00:00,3.6
2020-03-22 01:00:00,3.5
2020-03-22 02:00:00,3.2
2020-03-22 03:00:00,2.9
2020-03-22 04:00:00,2.6
2020-03-22 05:00:00,2.1
2020-03-22 06:00:00,1.8
2020-03-22 07:00:00,2.5
2020-03-22 08:00:00,3.6
2020-03-22 09:00:00,4.8
2020-03-22 10:00:00,5.6
2020-03-22 11:00:00,6.5
2020-03-22 12:00:00,6.9
2020-03-23 00:00:00,4.0
2020-03-23 01:00:00,3.0
2020-03-23 02:00:00,2.8
2020-03-23 03:00:00,2.4
2020-03-23 04:00:00,2.1
2020-03-23 05:00:00,1.6
2020-03-23 06:00:00,1.1
2020-03-23 07:00:00,1.3
2020-03-23 08:00:00,2.9
2020-03-23 09:00:00,4.1
2020-03-23 10:00:00,5.4
2020-03-23 11:00:00,6.5
2020-03-23 12:00:00,7.4
2020-03-24 00:00:00,4.2
2020-03-24 01:00:00,2.5
2020-03-24 02:00:00,2.4
2020-03-24 03:00:00,2.4
2020-03-24 04:00:00,2.3
2020-03-24 05:00:00,1.8
2020-03-24 06:00:00,1.5
2020-03-24 07:00:00,2.1
2020-03-24 08:00:00,3.9
2020-03-24 09:00:00,5.7
2020-03-24 10:00:00,7.7
2020-03-24 11:00:00,9.1
2020-03-24 12:00:00,10.1
2020-03-25 00:00:00,4.5
2020-03-25 01:00:00,1.8
2020-03-25 02:00:00,2.4
2020-03-25 03:00:00,2.4
2020-03-25 04:00:00,2.2
2020-03-25 05:00:00,1.9
2020-03-25 06:00:00,1.6
2020-03-25 07:00:00,1.4
2020-03-25 08:00:00,3.6
2020-03-25 09:00:00,6.0
2020-03-25 10:00:00,7.4
2020-03-25 11:00:00,8.6
2020-03-25 12:00:00,9.2
2020-03-26 00:00:00,2.4
2020-03-26 01:00:00,1.2
2020-03-26 02:00:00,1.0
2020-03-26 03:00:00,0.8
2020-03-26 04:00:00,0.6
2020-03-26 05:00:00,0.4
2020-03-26 06:00:00,0.3
2020-03-26 07:00:00,0.5
2020-03-26 08:00:00,2.5
2020-03-26 09:00:00,4.8
2020-03-26 10:00:00,6.7
2020-03-26 11:00:00,8.2
2020-03-26 12:00:00,9.1
2020-03-27 00:00:00,2.8
